index,value
0,0
1,5
2,2
3,3
4,1
5,0
6,5
7,11
8,0
9,7
10,10
11,0
12,9
13,7
14,3
15,2
16,104
17,1
18,6
19,1
20,10
21,3
22,11
23,252
24,6
25,0
26,198
27,5
28,4
29,10
30,11
31,2
32,5
33,11
34,9
35,9
36,2
37,7
38,4
39,3
40,0
41,150
42,0
43,142
44,4
45,138
46,192
47,3
48,7
49,2
50,10
51,3
52,1
53,6
54,10
55,9
56,172
57,61
58,198
59,10
60,9
61,1
62,8
63,9
64,6
65,7
66,5
67,2
68,10
69,6
70,3
71,9
72,1
73,5
74,6
75,3
76,253
77,3
78,1
79,3
80,6
81,3
82,7
83,8
84,64
85,4
86,4
87,8
88,46
89,5
90,11
91,6
92,0
93,10
94,217
95,8
96,0
97,10
98,9
99,2
100,3
101,7
102,4
103,1
104,7
105,5
106,0
107,220
108,2
109,133
110,9
111,65
112,5
113,10
114,2
115,4
116,2
117,0
118,71
119,4
120,0
121,4
122,1
123,9
124,10
125,3
126,157
127,10
128,66
129,5
130,3
131,243
132,1
133,0
134,10
135,1
136,2
137,9
138,1
139,2
140,9
141,7
142,1
143,0
144,9
145,246
146,199
147,6
148,6
149,6
150,6
151,2
152,10
153,2
154,4
155,5
156,254
157,232
158,6
159,9
160,0
161,173
162,6
163,9
164,2
165,5
166,248
167,5
168,8
169,36
170,4
171,10
172,2
173,1
174,73
175,0
176,7
177,4
178,3
179,7
180,200
181,7
182,2
183,1
184,1
185,5
186,3
187,5
188,0
189,10
190,9
191,11
192,5
193,7
194,4
195,161
196,0
197,107
198,5
199,249
200,4
201,2
202,1
203,0
204,9
205,6
206,5
207,216
208,74
209,4
210,2
211,11
212,9
213,8
214,6
215,173
216,2
217,0
218,6
219,236
220,246
221,79
222,226
223,0
224,142
225,7
226,6
227,8
228,4
229,11
230,8
231,6
232,3
233,0
234,2
235,5
236,5
237,6
238,6
239,5
240,50
241,16
242,8
243,4
244,1
245,10
246,1
247,10
248,6
249,3
250,6
251,5
252,237
253,5
254,3
255,1
256,0
257,5
258,29
259,9
260,140
261,92
262,169
263,3
264,183
265,3
266,7
267,10
268,129
269,0
270,7
271,9
272,0
273,147
274,11
275,6
276,2
277,5
278,10
279,4
280,29
281,4
282,32
283,6
284,7
285,7
286,5
287,4
288,2
289,6
290,6
291,8
292,164
293,6
294,9
295,0
296,2
297,8
298,8
299,0
300,4
301,4
302,9
303,7
304,5
305,9
306,4
307,1
308,7
309,82
310,6
311,1
312,3
313,10
314,4
315,3
316,3
317,7
318,8
319,11
320,11
321,1
322,6
323,10
324,3
325,7
326,2
327,11
328,2
329,10
330,11
331,0
332,8
333,1
334,114
335,2
336,7
337,9
338,0
339,165
340,0
341,1
342,7
343,6
344,6
345,103
346,187
347,10
348,1
349,6
350,8
351,2
352,179
353,11
354,151
355,10
356,8
357,5
358,183
359,8
360,5
361,10
362,2
363,8
364,11
365,2
366,1
367,1
368,9
369,4
370,0
371,49
372,11
373,2
374,0
375,5
376,4
377,11
378,8
379,4
