index,value
0,65535
1,65535
2,65534
3,65533
4,65533
5,65532
6,65531
7,65530
8,65530
9,65529
10,65526
11,65526
12,65526
13,65525
14,65525
15,65524
16,65524
17,65523
18,65523
19,65522
20,65522
21,65522
22,65522
23,65521
24,65521
25,65521
26,65521
27,65520
28,65520
29,65519
30,65518
31,65518
32,65518
33,65517
34,65517
35,65516
36,65515
37,65514
38,65513
39,65513
40,65513
41,65512
42,65511
43,65511
44,65511
45,65510
46,65510
47,65509
48,65507
49,65507
50,65507
51,65507
52,65506
53,65505
54,65505
55,65504
56,65504
57,65503
58,65503
59,65502
60,65501
61,65501
62,65500
63,65499
64,65498
65,65498
66,65496
67,65495
68,65495
69,65493
70,65491
71,65491
72,65491
73,65487
74,65486
75,65486
76,65486
77,65485
78,65485
79,65485
80,65483
81,65481
82,65481
83,65480
84,65479
85,65479
86,65479
87,65478
88,65478
89,65478
90,65476
91,65475
92,65475
93,65475
94,65474
95,65473
96,65472
97,65472
98,65472
99,65472
100,65471
101,65471
102,65471
103,65470
104,65469
105,65469
106,65468
107,65468
108,65468
109,65467
110,65465
111,65465
112,65465
113,65464
114,65464
115,65463
116,65463
117,65462
118,65461
119,65461
120,65459
121,65457
122,65457
123,65456
124,65455
125,65455
126,65454
127,65453
128,65453
129,65452
130,65452
131,65452
132,65452
133,65451
134,65451
135,65450
136,65449
137,65448
138,65448
139,65448
140,65447
141,65447
142,65446
143,65445
144,65445
145,65444
146,65444
147,65443
148,65443
149,65443
150,65443
151,65441
152,65439
153,65437
154,65437
155,65437
156,65436
157,65435
158,65435
159,65434
160,65433
161,65432
162,65432
163,65431
164,65431
165,65431
166,65429
167,65429
168,65428
169,65428
170,65428
171,65427
172,65427
173,65427
174,65426
175,65426
176,65424
177,65424
178,65424
179,65424
180,65423
181,65423
182,65422
183,65422
184,65421
185,65421
186,65421
187,65420
188,65420
189,65419
190,65419
191,65418
192,65418
193,65416
194,65415
195,65415
196,65414
197,65414
198,65414
199,65414
200,65413
201,65410
202,65410
203,65409
204,65409
205,65408
206,65407
207,65406
208,65405
209,65405
210,65404
211,65404
212,65403
213,65402
214,65402
215,65402
216,65401
217,65400
218,65400
219,65399
220,65399
221,65398
222,65397
223,65395
224,65394
225,65393
226,65393
227,65392
228,65392
229,65391
230,65391
231,65389
232,65387
233,65387
234,65387
235,65387
236,65386
237,65385
238,65384
239,65383
240,65382
241,65382
242,65381
243,65381
244,65381
245,65380
246,65380
247,65380
248,65380
249,65379
250,65377
251,65376
252,65376
253,65376
254,65375
255,65375
256,65375
257,65374
258,65373
259,65373
260,65373
261,65373
262,65373
263,65372
264,65371
265,65370
266,65370
267,65369
268,65368
269,65368
270,65368
271,65368
272,65367
273,65366
274,65366
275,65365
276,65364
277,65361
278,65361
279,65360
280,65359
281,65358
282,65357
283,65357
284,65356
285,65356
286,65354
287,65354
288,65353
289,65352
290,65350
291,65350
292,65350
293,65349
294,65348
295,65347
296,65347
297,65347
298,65347
299,65346
300,65346
301,65345
302,65344
303,65344
304,65344
305,65343
306,65343
307,65342
308,65342
309,65342
310,65342
311,65341
312,65340
313,65340
314,65339
315,65338
316,65338
317,65338
318,65338
319,65336
320,65336
321,65336
322,65335
323,65334
324,65333
325,65333
326,65332
327,65331
328,65330
329,65330
330,65329
331,65327
332,65327
333,65326
334,65326
335,65326
336,65322
337,65322
338,65322
339,65321
340,65320
341,65320
342,65318
343,65318
344,65318
345,65317
346,65317
347,65317
348,65316
349,65315
350,65312
351,65312
352,65311
353,65311
354,65311
355,65310
356,65309
357,65308
358,65307
359,65307
360,65307
361,65306
362,65306
363,65306
364,65306
365,65306
366,65306
367,65303
368,65302
369,65301
370,65300
371,65299
372,65299
373,65298
374,65298
375,65298
376,65296
377,65295
378,65294
379,65294
380,65294
381,65294
382,65293
383,65293
384,65293
385,65292
386,65292
387,65292
388,65291
389,65290
390,65289
391,65289
392,65289
393,65288
394,65288
395,65287
396,65286
397,65285
398,65285
399,65285
400,65283
401,65283
402,65282
403,65282
404,65282
405,65282
406,65281
407,65280
408,65280
409,65279
410,65278
411,65278
412,65277
413,65276
414,65275
415,65274
416,65273
417,65273
418,65272
419,65272
420,65272
421,65271
422,65271
423,65271
424,65269
425,65268
426,65268
427,65268
428,65267
429,65267
430,65267
431,65267
432,65266
433,65266
434,65265
435,65264
436,65263
437,65263
438,65262
439,65262
440,65260
441,65260
442,65257
443,65257
444,65256
445,65255
446,65254
447,65254
448,65252
449,65252
450,65250
451,65249
452,65249
453,65249
454,65248
455,65247
456,65247
457,65247
458,65245
459,65244
460,65244
461,65244
462,65243
463,65241
464,65241
465,65241
466,65241
467,65240
468,65240
469,65239
470,65239
471,65237
472,65237
473,65236
474,65235
475,65234
476,65234
477,65233
478,65231
479,65230
480,65230
481,65229
482,65229
483,65228
484,65228
485,65227
486,65227
487,65226
488,65225
489,65224
490,65224
491,65223
492,65223
493,65223
494,65222
495,65222
496,65221
497,65221
498,65220
499,65219
500,65218
501,65217
502,65216
503,65215
504,65214
505,65212
506,65211
507,65210
508,65209
509,65208
510,65208
511,65208
512,65208
513,65208
514,65208
515,65208
516,65206
517,65206
518,65206
519,65204
520,65204
521,65204
522,65202
523,65201
524,65201
525,65199
526,65198
527,65198
528,65195
529,65194
530,65194
531,65193
532,65191
533,65191
534,65191
535,65190
536,65189
537,65187
538,65186
539,65185
540,65185
541,65184
542,65184
543,65183
544,65182
545,65182
546,65182
547,65181
548,65180
549,65180
550,65180
551,65178
552,65178
553,65178
554,65178
555,65177
556,65177
557,65175
558,65175
559,65174
560,65174
561,65173
562,65173
563,65173
564,65172
565,65172
566,65171
567,65171
568,65171
569,65170
570,65169
571,65169
572,65168
573,65167
574,65164
575,65163
576,65162
577,65161
578,65160
579,65160
580,65160
581,65160
582,65159
583,65159
584,65158
585,65158
586,65157
587,65157
588,65157
589,65156
590,65155
591,65154
592,65154
593,65154
594,65152
595,65151
596,65151
597,65151
598,65151
599,65150
600,65150
601,65150
602,65149
603,65148
604,65147
605,65146
606,65146
607,65145
608,65145
609,65144
610,65144
611,65142
612,65141
613,65140
614,65140
615,65139
616,65139
617,65139
618,65138
619,65138
620,65138
621,65137
622,65136
623,65136
624,65136
625,65136
626,65135
627,65135
628,65135
629,65134
630,65134
631,65133
632,65132
633,65132
634,65131
635,65130
636,65130
637,65129
638,65128
639,65128
640,65127
641,65125
642,65125
643,65124
644,65124
645,65121
646,65121
647,65120
648,65119
649,65119
650,65118
651,65118
652,65117
653,65116
654,65115
655,65113
656,65113
657,65111
658,65110
659,65110
660,65108
661,65107
662,65107
663,65105
664,65104
665,65104
666,65103
667,65101
668,65101
669,65101
670,65100
671,65100
672,65100
673,65100
674,65100
675,65099
676,65098
677,65098
678,65098
679,65097
680,65096
681,65096
682,65096
683,65095
684,65094
685,65093
686,65093
687,65092
688,65091
689,65090
690,65090
691,65089
692,65088
693,65087
694,65087
695,65087
696,65086
697,65085
698,65085
699,65084
700,65083
701,65083
702,65082
703,65081
704,65081
705,65080
706,65080
707,65080
708,65079
709,65078
710,65078
711,65078
712,65076
713,65076
714,65075
715,65075
716,65073
717,65073
718,65072
719,65071
720,65070
721,65070
722,65070
723,65070
724,65069
725,65068
726,65068
727,65067
728,65067
729,65067
730,65066
731,65065
732,65065
733,65063
734,65063
735,65063
736,65063
737,65062
738,65060
739,65058
740,65058
741,65057
742,65057
743,65056
744,65056
745,65056
746,65055
747,65055
748,65054
749,65053
750,65052
751,65052
752,65052
753,65051
754,65051
755,65050
756,65050
757,65049
758,65048
759,65047
760,65046
761,65046
762,65045
763,65045
764,65044
765,65044
766,65044
767,65042
768,65040
769,65040
770,65040
771,65039
772,65039
773,65039
774,65039
775,65038
776,65038
777,65037
778,65036
779,65036
780,65036
781,65035
782,65034
783,65032
784,65031
785,65031
786,65031
787,65030
788,65029
789,65029
790,65029
791,65029
792,65029
793,65027
794,65027
795,65027
796,65027
797,65026
798,65026
799,65025
800,65024
801,65024
802,65023
803,65023
804,65022
805,65022
806,65021
807,65020
808,65018
809,65018
810,65017
811,65017
812,65017
813,65015
814,65015
815,65015
816,65015
817,65014
818,65013
819,65012
820,65010
821,65010
822,65010
823,65009
824,65009
825,65009
826,65008
827,65005
828,65005
829,65003
830,65002
831,65002
832,65002
833,65001
834,65001
835,65001
836,65000
837,65000
838,64999
839,64999
840,64999
841,64999
842,64998
843,64996
844,64996
845,64996
846,64994
847,64994
848,64992
849,64991
850,64991
851,64991
852,64991
853,64989
854,64989
855,64988
856,64987
857,64987
858,64986
859,64983
860,64982
861,64981
862,64980
863,64979
864,64979
865,64979
866,64979
867,64978
868,64978
869,64977
870,64977
871,64977
872,64976
873,64975
874,64975
875,64975
876,64974
877,64970
878,64970
879,64968
880,64968
881,64966
882,64966
883,64966
884,64963
885,64963
886,64963
887,64963
888,64961
889,64961
890,64958
891,64957
892,64956
893,64955
894,64955
895,64953
896,64953
897,64952
898,64952
899,64951
900,64950
901,64950
902,64948
903,64948
904,64942
905,64941
906,64941
907,64941
908,64941
909,64940
910,64940
911,64940
912,64940
913,64938
914,64938
915,64937
916,64936
917,64936
918,64934
919,64933
920,64933
921,64932
922,64932
923,64931
924,64931
925,64929
926,64928
927,64927
928,64927
929,64927
930,64927
931,64926
932,64926
933,64925
934,64925
935,64924
936,64922
937,64922
938,64920
939,64920
940,64919
941,64918
942,64918
