index,value
0,248
1,398
2,484
3,913
4,382
5,244
6,625
7,210
8,921
9,569
10,63
11,461
12,323
13,819
14,757
15,888
16,400
17,293
18,156
19,181
20,440
21,24
22,287
23,321
24,600
25,404
26,567
27,233
28,647
29,702
30,676
31,666
32,228
33,600
34,170
35,261
36,255
37,162
38,935
39,904
40,138
41,470
42,387
43,626
44,394
45,571
46,310
47,926
48,514
49,809
50,929
51,279
52,100
53,325
54,570
55,975
56,781
57,538
58,483
59,722
60,19
61,696
62,388
63,576
64,878
65,982
66,64
67,356
68,342
69,835
70,687
71,790
72,567
73,356
74,1005
75,910
76,658
77,616
78,908
79,813
80,680
81,590
82,780
83,636
84,861
85,925
86,359
87,717
88,93
89,483
90,540
91,377
92,62
93,643
94,42
95,43
96,70
97,759
98,954
99,755
100,825
101,724
102,404
103,241
104,369
105,618
106,987
107,75
108,897
109,228
110,818
111,397
112,94
113,837
114,470
115,685
116,912
117,835
118,479
119,525
120,892
121,134
122,620
123,411
124,367
125,31
126,345
127,666
128,118
129,758
130,168
131,639
132,409
133,217
134,888
135,443
136,609
137,824
138,298
139,978
140,243
141,382
142,598
143,644
144,635
145,259
146,526
147,755
148,574
149,98
150,409
151,425
152,108
153,429
154,421
155,547
156,787
157,406
158,872
159,263
160,700
161,777
162,780
163,286
164,920
165,186
166,862
167,121
168,727
169,165
170,420
171,530
172,449
173,961
174,600
175,515
176,188
177,158
178,366
179,252
180,994
181,236
182,246
183,868
184,113
185,903
186,293
187,559
188,766
189,940
190,224
191,193
192,774
193,430
194,44
195,674
196,399
197,76
198,564
199,221
200,813
201,253
202,66
203,489
204,758
205,187
206,2
207,482
208,797
209,162
210,107
211,11
212,768
213,239
214,310
215,381
216,829
217,90
218,730
219,388
220,87
221,453
222,451
223,189
224,519
225,727
226,402
227,680
228,454
229,876
230,492
231,128
232,616
233,552
234,230
235,366
236,702
237,292
238,300
239,688
240,90
241,587
242,989
243,446
244,137
245,947
246,44
247,564
248,767
249,990
250,912
251,549
252,794
253,35
254,42
255,924
256,624
257,653
258,84
259,328
260,965
261,949
262,389
263,542
264,320
265,594
266,131
267,303
268,811
269,208
270,108
271,477
272,950
273,55
274,549
275,144
276,534
277,228
278,325
279,960
280,189
281,464
282,516
283,752
284,990
